id,name,conferenceid,first_name,last_name,email,job_title,organisation,short_bio,bio,phone_number,mobile_number,password,security,stand_manager,allow_name_search,deleted,apikey,apikey_expiry,last_api_contact,profileimg,profileimg_thumb,profileimg_new,profileimg_thumb_new,attendeeid
4281,james,35,James,Rooney,james_rooney@hotmail.com,,Director,,,\N,\N,$2y$10$CP.A/bWAxN8kBuXevcCor.R7GSMq4qbkHi97Epn6DjaleCh0nmR/S,10,0,1,0,\N,\N,\N,\N,\N,\N,\N,13898
4282,4282@invalid,35,Freddy,Waldvogel,4282@invalid,\N,Xitagy,,\N,\N,\N,$2y$10$Xk8NttkWqGR7idOBc26Sgujc6.bEWYKNaYgrVv1p9dJjxvRhWNGdy,9,0,1,0,\N,\N,\N,\N,\N,\N,\N,13990
4283,4283@invalid,35,Priscila,Neusch,4283@invalid,\N,Public Sector Connect Ltd,,\N,\N,\N,$2y$10$yXliyOEtK8b7JDoP2AKLeeQzL4pHR.YqlD09QrPJw9xQVEckyovCG,9,0,1,0,\N,\N,\N,\N,\N,\N,\N,13902
4284,4284@invalid,35,Olga,Binney,4284@invalid,\N,Public Sector Connect,,\N,\N,\N,$2y$10$4rJzaYxAfBJNWQc8hIHPfuK4jWGjpastK2arheegUWCHPVAcOR2NW,9,0,1,0,\N,\N,\N,\N,\N,\N,\N,13986
4285,4285@invalid,35,Buena,Rogacion,4285@invalid,\N,Public Sector Connect,,\N,\N,\N,$2y$10$DWg/633Cib9ylr4N98IUsemKUUSN52t7lxqVfwLBWF1QJJZl//CRK,9,0,1,0,\N,\N,\N,\N,\N,\N,\N,13994
4286,4286@invalid,35,Andera,Gables,4286@invalid,\N,Cisco,,\N,\N,\N,$2y$10$NQQiYEDiYvMhyDNFybCM.exUU8OGwgOI1JopGvWR1LB5bYZXk79CK,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,13998
4287,4287@invalid,35,Fernando,Knknown,4287@invalid,\N,AdEPT,,\N,\N,\N,$2y$10$XZkHdBKrqqKgFXRVJ7tNyOHIwcvb/ptgK14sQ8mDEh6wJ2Kn5VDkm,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14002
4288,4288@invalid,35,Chun,Montalto,4288@invalid,\N,Exponential-e,Maketing Manager,\N,\N,\N,$2y$10$5o14D2HBVgi5mt3P64AwOen9/eCTHA1oQuH73q/kDR3aXnj9RhlSa,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14006
4289,4289@invalid,35,Lovie,Sliwa,4289@invalid,\N,Fordway,Digital Marketing Manager,\N,\N,\N,$2y$10$7QCj7eX50emIY12PrU5EJei0vDPycwSrHLHy6yQ0ii6CnOBOaGnFK,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14010
4290,4290@invalid,35,Leslie,Balbas,4290@invalid,\N,FourNet,,\N,\N,\N,$2y$10$SSr.iFHg1XYVUaf.hiPV9.3rogs5xc7HZ4cChnmNsQzHH4lvvjCk2,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14014
4291,4291@invalid,35,Krystal,Brumfield,4291@invalid,\N,Glemnet,,\N,\N,\N,$2y$10$oLE2KoHNwJ7WgSo4uLY8Ve09ztzNfGEyWC4yw86bbTBCPF6lumZ3G,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14018
4292,4292@invalid,35,Anjanette,Skinner,4292@invalid,\N,hso,,\N,\N,\N,$2y$10$KMZdDZTOn348GYMkDs/U2urRGMdyXoyTzpUYM.2khEaSqUWFTwA0S,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14022
4293,4293@invalid,35,Ayako,Rosati,4293@invalid,\N,Jisc,"Govroam Service Manager, Jisc",\N,\N,\N,$2y$10$CHS0rU/YA4oBS//Nf.KUMOfoXLHHvdy1OePX/Xvak84R.6FE4HND6,0,0,1,0,\N,\N,\N,user-4163-profileimg-LolaHarreMar2020.2020-10-22_14:15:30.jpg,\N,\N,\N,14966
4294,4294@invalid,35,Teresita,Zecchini,4294@invalid,\N,Juniper Networks,,\N,\N,\N,$2y$10$GPzrCzaA3ZwwNDbMhrM89OPq3unJ5ZyQa5nWpPkd4/gvKfp7KaApy,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14030
4295,4295@invalid,35,Charley,Hirstein,4295@invalid,\N,Maintel,,\N,\N,\N,$2y$10$D9Ehdm/u2RKqg.Zy7xovVODqdJiJkSU2jSiyrblMCweWgibtwSROu,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14034
4296,4296@invalid,35,Kraig,Leaven,4296@invalid,\N,MLL Telecom,,\N,\N,\N,$2y$10$fUjnZphQVbOc0VLUwYEJdOwNDnAnUKDLt0nORt/jJ7ktgq8MEoFl2,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14038
4297,4297@invalid,35,Oma,Moevao,4297@invalid,\N,TNP,,\N,\N,\N,$2y$10$CuWEgEn62pZeW9x3aRAanOI9111JqrDJZ/6oLhqxqDemI4BHvW38u,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14042
4298,4298@invalid,35,Krystyna,Weisse,4298@invalid,\N,Virgin Media Business,,\N,\N,\N,$2y$10$LLwG4m6xLPNfhSBnSkDQ/ezweC3g2j0nbYEFDSfAdszWyLasr.8c6,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14046
4299,4299@invalid,35,Josue,Bankos,4299@invalid,\N,Virgin Media Business,,\N,\N,\N,$2y$10$QngwrEgwc53P9y3TCcR9N.aLN.HsqDsAchxML9AdiCPyaVp2NAjji,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14050
4300,4300@invalid,35,Frankie,Nocket,4300@invalid,\N,TNP,,\N,\N,\N,$2y$10$d/7Jr8c7UOGynQjCHS9bYeg6LRtwr6pLp3hg8omIQ8oZXNoGFDfiu,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14054
4301,4301@invalid,35,Karyl,Nao,4301@invalid,\N,AdEPT,"Head of Business Development, AdEPT",\N,\N,\N,$2y$10$PNv6bffLFE1oEm0JEMSBDuZHezs4o2SziRYx2T6UlJR/0sD8OZlk6,0,0,1,0,\N,\N,\N,user-4171-profileimg-PaulMathewsMar2020.2020-10-22_14:29:19.jpg,\N,\N,\N,14058
4302,4302@invalid,35,Breana,Bousson,4302@invalid,\N,AdEPT,"Director, AdEPT",\N,\N,\N,$2y$10$h0DdmYDBDGkv0ejPeNDN9uoASkbYX.Y5Gywy4Ur3g1Y8O/XyQBWoe,0,0,1,0,\N,\N,\N,user-4172-profileimg-AlexLarcombeMarr2020.2020-10-22_14:28:39.jpg,\N,\N,\N,14062
4303,4303@invalid,35,Kathrine,Rongstad,4303@invalid,\N,FourNet,"Head of Public Sector, FourNet",\N,\N,\N,$2y$10$r0tBHAD4RUWZFVyfakyRJ.f4jE4LBfjuN6znedoa5Vk20JllxLgHK,0,0,1,0,\N,\N,\N,user-4173-profileimg-BenRyland.2020-10-22_14:20:27.jpeg,\N,\N,\N,14786
4304,4304@invalid,35,Asa,Altermatt,4304@invalid,\N,MLL Telecom,"Head of Public Sector, MLL Telecom",\N,\N,\N,$2y$10$0szW0inTh10DWQHCpc1Z1un0F2r87i/Od2XtcrOvyFvYRIkfKn0bK,0,0,1,0,\N,\N,\N,user-4174-profileimg-JeremyWastieAug19.2020-10-22_14:27:11.jpg,\N,\N,\N,15166
4305,4305@invalid,35,Hee,Moyer,4305@invalid,\N,Virgin Media Business,"Business Development Manager, Virgin Media Business",\N,\N,\N,$2y$10$bhyMP4wE0RShDeb7JaDobOvsSWDB7JojiFCqZfDJDZurqAGgl22DS,0,0,1,0,\N,\N,\N,user-4175-profileimg-KeithSmith-Feb20.2020-10-22_14:22:53.png,\N,\N,\N,15566
4306,4306@invalid,35,Nickole,Overlock,4306@invalid,\N,Juniper Networks,Director - Enterprise Security,\N,\N,\N,$2y$10$V46nOGl4HnLIJp4zNHY6j.ELmEOus3XYYkd9EtKx1bzwyi6rBoNx6,0,0,1,0,\N,\N,\N,user-4176-profileimg-LawrencePitt.2020-11-10_12:22:22.jpg,\N,\N,\N,14970
4307,lynne.magennis@innopsis.org,35,Lynne,Magennis,lynnemagennis@googlemail.com,CONFERENCE CHAIR,Director at Innopsis,,"Lynne is a Director at Innopsis â€“ the trade association for suppliers of Digital Infrastructure and Services to the UK Public Sector.

Currently, Lynne is Head of Bid Management and Frameworks at Daisy Group, one of the most successful IT and Telecoms Service providers in the UK. She has been instrumental in focusing Daisy on Public Sector and is passionate about enabling organisations to do business easily, economically and remaining fully compliant.
Lynne has a strong track record in obtaining strategic Framework places and winning significant public and private sector tenders.

As a former research scientist, Lynne still holds a patent in fire retardant products, bringing her analytical approach to her IT career.

Lynne lives in Buckinghamshire with her family, dog, 3 horses and allotment.",07738 726687,07738 726687,$2y$10$ZtEkQoO3UvD4HeL4iko3TuIuBUdQBBuVgSc0CNDK0hbqhkxghgM22,0,0,1,0,\N,\N,\N,user-4177-profileimg-Lynne Magennis.2020-10-22_14:56:56.jpg,\N,\N,\N,15899
4308,4308@invalid,35,Silas,Menear,4308@invalid,\N,"Department for Digital, Culture, Media and Sport","Commercial Lead - Building Digital UK, DCMS",\N,\N,\N,$2y$10$JEBL7IZ2vvtdeeKX9.WuYeB5ifQZpCBUrXMFT6lnvL.n9X6GxGwFG,0,0,1,0,\N,\N,\N,user-4178-profileimg-Matt Agar DCMS.2020-10-22_15:00:10.jpg,\N,\N,\N,14086
4309,4309@invalid,35,Nilsa,Ondersma,4309@invalid,\N,GDS (Government Digital Service),"Head of Technology Policy, GDS",\N,\N,\N,$2y$10$XmgAue4ErVsorfOe.MB8R.01gfratK1DbbUDW8.ItUa/cocUnDORm,0,0,1,0,\N,\N,\N,user-4179-profileimg-RhiannonLawsonMar2020.2020-10-22_15:02:25.jpg,\N,\N,\N,14090
4310,4310@invalid,35,Enoch,Treherne,4310@invalid,\N,NHS Digital,"Migration Lead for HSCN, NHS Digital",\N,\N,\N,$2y$10$nZE/4m26Dhi1qrwfAQjYBeT.derOHVizGExyvK5zesEH8n0Y1.RWG,0,0,1,0,\N,\N,\N,user-4180-profileimg-Dan Parry NHS Digital.2020-10-22_15:04:28.jpg,\N,\N,\N,15238
4311,4311@invalid,35,Leon,Elizondo,4311@invalid,\N,Crown Commercial Service,"Head of inlife Telecoms , Crown Commercial Service",\N,\N,\N,$2y$10$JxIRrNTedy12i13mjAPcKe5VJzc2cY7sKrSfN/Y7kMgEUnJo9Ehr2,0,0,1,0,\N,\N,\N,user-4181-profileimg-AndrewBramleyCCS.2020-10-22_15:06:50.jpg,\N,\N,\N,14598
4312,4312@invalid,35,Stephine,Krupp,4312@invalid,\N,Switchshop,Marketing and Communications Lead,\N,\N,\N,$2y$10$IQeUYt7GvvMHoAH2G7Qrgu9DZl1VmzBqoVUSYAc1T7q6oZSMlcm72,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14102
4313,4313@invalid,35,Hwa,Farson,4313@invalid,\N,Switchshop,Marketing and Administrative Apprentice,\N,\N,\N,$2y$10$l82JFVDX5Ua0kDFerzyOAeCqrk5KLjpuiwhCqeWtbFYDL03Zp8OgG,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14106
4314,4314@invalid,35,Fredericka,Cicatello,4314@invalid,\N,,,\N,\N,\N,$2y$10$A8E1pl8J7riI6225xKa6TuI1CGN7CXDi80Zztatlp60V54t5wlqCu,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14110
4315,4315@invalid,35,Shawn,Strike,4315@invalid,\N,Daisy Corporate Services,Public Sector Account Manager,\N,\N,\N,$2y$10$pej9ASy56RtXQn74PhJogODjwkJ7QLBNK3rHvCIjkvNADbxrN5cfy,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14114
4316,4316@invalid,35,Madelyn,Wronski,4316@invalid,\N,Daisy Corporate Services,,\N,\N,\N,$2y$10$kCItEpSwmoKD1x89GJDKQ.JaB7Km85d/MUqns1sb6p/j4fZOpvqG.,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14118
4317,4317@invalid,35,Maxwell,Witkowski,4317@invalid,\N,Daisy Corporate Services,Head of Marketing Communications,\N,\N,\N,$2y$10$fWOT7ACeqStbD7pKc6jqb.KpEBSaK5PJkCfxHxu/gn/ruBFxqONde,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14122
4318,4318@invalid,35,Nigel,Naves,4318@invalid,\N,NFON,Pre-Sales Solutions Consultant,\N,\N,\N,$2y$10$rnA23KZZBEJtPfFU1m9xlu4HH1ZGQqBe/k7UOPNCllfJIYfznOtPm,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14126
4319,4319@invalid,35,Lynnette,Ten,4319@invalid,\N,NFON,,\N,\N,\N,$2y$10$gBvnxGoJc/pAgdePGeW0X.0ZvKzJqFKGa8Et1IUqyP7N.lQIy8lWS,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14130
4320,4320@invalid,35,Wilmer,Maccarini,4320@invalid,\N,Glemnet,,\N,\N,\N,$2y$10$sDjcbpL1u834trp/mfOfpuuLAn7gAVwnCi.BcL10oBVd8Y2MRF7w6,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14134
4321,4321@invalid,35,Otis,Deberry,4321@invalid,\N,Glemnet,,\N,\N,\N,$2y$10$DUjL7Ch0YQV1CAMlK54czeYOFzdDulu6dwfQpiN9UGh1eIPXRsxia,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14138
4322,4322@invalid,35,Shawanna,Stansell,4322@invalid,\N,Virgin Media Business,Account Executive,\N,\N,\N,$2y$10$Bn7dmb739hSppOa8jXrLSeOv.pSfXBJlK1xHrt835FLhGhfeAG5c6,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14142
4323,4323@invalid,35,Fran,Rudkin,4323@invalid,\N,Virgin Media Business,Account Manager,\N,\N,\N,$2y$10$FcFlcws5d0F6iXJUGseqHOvNYIMy4jWsu1nAz1wE2vfeprncRgASe,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14146
4324,4324@invalid,35,Enda,Seid,4324@invalid,\N,Switchshop,Senior Account Manager,\N,\N,\N,$2y$10$Y2kQCMfUF7Qgb6iwcnoO7uXVhdTUDVFg.FVxoCukdZOFYuKUPzhLq,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14150
4325,4325@invalid,35,Ivette,Eglinton,4325@invalid,\N,Switchshop,Account Manager,\N,\N,\N,$2y$10$25AmOQk4CmTZBFU0alszXuRGLz1dD72vS8pzDwAUdWGcP4GkVeKsu,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14154
4326,4326@invalid,35,Robin,Kovacs,4326@invalid,\N,NHS Digital,,\N,\N,\N,$2y$10$WWYARU4E2j3j6c9JDieAXeWaD5Dke6ovPtxLLNVXoW12xK2GEzO3W,0,0,1,0,\N,\N,\N,user-4196-profileimg-AnnaHawksleyNov20.2020-11-09_11:19:29.jpg,\N,\N,\N,15242
4327,4327@invalid,35,Rosanne,Diogo,4327@invalid,\N,Kent Public Service Network,"Head of KPSN, Kent Public Service Network",\N,\N,\N,$2y$10$zwtZ2NHn.pUCmn8eknwMcuRjXA8IgtdkjZL4IvdYcwH8lWxKIBjbC,0,0,1,0,\N,\N,\N,user-4197-profileimg-DaveLindsayOct2020.2020-10-28_12:26:30.png,\N,\N,\N,14994
4328,4328@invalid,35,Thuy,Claud,4328@invalid,\N,Glemnet,,\N,\N,\N,$2y$10$vKdlics1zK0535xHF2eSI.gvJ9fa1O0KJ0/V.f1/XI2aBif2CaABO,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14166
4329,4329@invalid,35,Johnnie,Olma,4329@invalid,\N,Fordway,,\N,\N,\N,$2y$10$8wB35keYa07D3PanLGvXm.ZnPaZfR/agADFjZAiTmsWC4/ZucWgO.,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14170
4330,4330@invalid,35,Latina,Lockett,4330@invalid,\N,MLL Telecom,,\N,\N,\N,$2y$10$.BzrG0KF/4eiSJHrHXaDWObRlYGnQwVj.f/qoNnKp76MAyo7lPw66,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14174
4331,4331@invalid,35,Preston,Nini,4331@invalid,\N,MLL Telecom,,\N,\N,\N,$2y$10$2PxiWGoc1v2YWn4iIVXSZunNjvgkdVubi6nZ0hPdFwoOBxbyRrj12,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14178
4332,4332@invalid,35,Lou,Sysyn,4332@invalid,\N,MLL Telecom,,\N,\N,\N,$2y$10$80OGIlVrFZteSEEprXF5T.bZCUE0UjYdsCSGIvVTxLncV6rjLEYtS,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14182
4333,4333@invalid,35,Kym,Tingle,4333@invalid,\N,MLL Telecom,,\N,\N,\N,$2y$10$4e0NgS8KEG4To5RhU9iW6eVYyeNrU..Z9KZmK..Vw0eo42XCnpu92,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14186
4334,4334@invalid,35,Shea,Opell,4334@invalid,\N,Public Sector Connect,,\N,\N,\N,$2y$10$S8i7Qyl/cqtVGzrxyK0beOUFR/xbZetrCF0rVmOQfb7qZByYUeTz2,0,0,1,0,\N,\N,\N,user-4204-profileimg-Georgia.2020-11-02_13:58:54.jpg,\N,\N,\N,14190
4335,4335@invalid,35,Marceline,Formby,4335@invalid,\N,Virgin Media Business,,\N,\N,\N,$2y$10$7DPOW.atEtKbXHE.hJKyDetP8n4uw58Vtpcefu8tkWt2VqIv865Qe,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14194
4336,4336@invalid,35,Jillian,Neehouse,4336@invalid,\N,Juniper Networks,,\N,\N,\N,$2y$10$aPbFGzvtk956n//T.WGnKOa7QJ3Id2mIDBcCVDt7yMmAx8sFf9zee,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14198
4337,4337@invalid,35,Sherron,Niedermeier,4337@invalid,\N,Juniper Networks,,\N,\N,\N,$2y$10$Q9hBYhDpK8zyWhd6gGZbgOxAvhTDrCa6OOKNJux.90pzOgwoFGEDK,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14202
4338,4338@invalid,35,Johnson,Vaudrain,4338@invalid,\N,Juniper Networks,,\N,\N,\N,$2y$10$3JZ6I.8Li0X.IQIQRMG5.uKlIpcrYo8CQFONdnCAIxXS8PSAGIuqG,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14206
4339,4339@invalid,35,Yulanda,Freshley,4339@invalid,\N,TNP,\N,\N,\N,\N,$2y$10$LfEBDwzHk2vQhIUwUcqYF.F9aZOMYBffqIEgayJTgmV9z0E.wG4tK,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14210
4340,4340@invalid,35,Coletta,Naff,4340@invalid,\N,Daisy Group,,\N,\N,\N,$2y$10$qR6ioM5IDYTWjmDkjVGft.CSLmpyA/ETxHLnsGwufDsBqJI4NFBnu,0,0,1,0,\N,\N,\N,\N,\N,\N,\N,14214
